album_n,album_s,date_d,url_s
1,Fashion Nugget,1996,
2,Ege Bamyasi,1972-11,
3,Built on Glass,2014-04-11,youtu.be/hi4pzKvuEQM
4,Camp,2011,
5,"“Awaken, My Love!”",2016-12-02,youtu.be/Kp7eSUU9oy8
6,Because the Internet,2013-12-06,youtu.be/ExVtrghW5Y4
7,August and Everything After,1993-09-14,youtu.be/-oqAU5VxFWs
8,This Desert Life,1999-11-01,
9,Chicago V,1972,
10,Chicago II,1969,
11,Chicago 17,1984-05-14,youtu.be/wM-XhQeFzW4
12,Chicago X,1976,
13,Garlands,1982-09-01,
14,"Lullabies to Violaine, Volume 1",2006-03-21,
15,Milk & Kisses,1996-05-14,
16,Victorialand,1986-07-23,
17,Tiny Dynamine,1985-11-01,
18,The Pink Opaque,1985-09,
19,Treasure,1984-10-01,
20,Head Over Heels,1983-10-31,
21,Four-Calendar Café,1993-11-02,
22,Heaven or Las Vegas,1990-08-21,
23,Blue Bell Knoll,1988-09-19,
24,Love’s Easy Tears,1986-09-01,
25,Iteration,2017,
26,In Decay,2012,
27,Galactic Melt,2011,
28,Cassie,2006-08-08,youtu.be/zVJ5gsLeCSM
29,Heart Shaped World,1989,youtu.be/ib6VAJbEBjg
30,Chris Isaak,1986,
31,Basic Instinct,2010-12-13,youtu.be/Lp6W4aK1sbs
32,Cuckoo,1993,
33,Somersault,2007-07-23,
34,Behind the Sun,2000-03-27,
35,Far From the Maddening Crowds,1997,
36,A Rush of Blood to the Head,2002-08-26,youtu.be/RB-RcX5DS5A
37,Exilarch,2010-10-19,
38,Extraordinary Ways,2005-08-30,
39,Conjure One,2002-09-17,
40,Age of the Ego,2019-05-03,
41,Walk Dance Talk Sing,2015,
42,When We On,2011,
43,Stop Space Return,2008-10-13,
