song_n,album_n
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,9
99,9
100,9
101,9
102,9
103,9
104,9
105,9
106,9
107,9
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,11
132,11
133,11
134,11
135,11
136,11
137,11
138,11
139,11
140,11
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,12
149,12
150,12
151,12
152,13
153,13
154,13
155,13
156,13
157,13
158,13
159,13
160,14
161,14
162,14
163,14
164,14
165,14
166,14
167,14
168,14
169,14
170,14
171,14
172,14
173,14
174,14
175,14
176,14
177,14
178,14
179,15
180,15
181,15
182,15
183,15
184,15
185,15
186,15
187,15
188,15
189,16
190,16
191,16
192,16
193,16
194,16
195,16
196,16
197,16
198,17
199,17
200,17
201,17
202,18
203,18
204,18
205,18
206,18
207,18
208,18
209,18
210,19
211,19
212,19
213,19
214,19
215,19
216,19
217,19
218,19
219,19
220,20
221,20
222,20
223,20
224,20
225,20
226,20
227,20
228,20
229,20
230,21
231,21
232,21
233,21
234,21
235,21
236,21
237,21
238,21
239,21
240,22
241,22
242,22
243,22
244,22
245,22
246,22
247,22
248,22
249,22
250,23
251,23
252,23
253,23
254,23
255,23
256,23
257,23
258,23
259,23
260,24
261,24
262,24
263,24
264,25
265,25
266,25
267,25
268,25
269,25
270,25
271,25
272,25
273,25
274,25
275,25
276,26
277,26
278,26
279,26
280,26
281,26
282,26
283,26
284,26
285,26
286,26
287,26
288,26
289,27
290,27
291,27
292,27
293,27
294,27
295,27
296,27
297,27
298,27
299,27
300,28
301,28
302,28
303,28
304,28
305,28
306,28
307,28
308,28
309,28
310,28
311,29
312,29
313,29
314,29
315,29
316,29
317,29
318,29
319,29
320,29
321,30
322,30
323,30
324,30
325,30
326,30
327,30
328,30
329,30
330,30
331,30
332,31
333,31
334,31
335,31
336,31
337,31
338,31
339,31
340,31
341,31
342,31
343,32
344,32
345,32
346,32
347,32
348,32
349,32
350,32
351,32
352,32
353,33
354,33
355,33
356,33
357,33
358,33
359,33
360,33
361,33
362,33
363,34
364,34
365,34
366,34
367,34
368,34
369,34
370,34
371,34
372,34
373,35
374,35
375,35
376,35
377,35
378,35
379,35
380,35
381,35
382,35
383,35
384,36
385,36
386,36
387,36
388,36
389,36
390,36
391,36
392,36
393,36
394,36
395,37
396,37
397,37
398,37
399,37
400,37
401,37
402,37
403,37
404,37
405,37
406,38
407,38
408,38
409,38
410,38
411,38
412,38
413,38
414,38
415,38
416,39
417,39
418,39
419,39
420,39
421,39
422,39
423,39
424,39
425,39
426,39
427,40
428,40
429,40
430,40
431,40
432,40
433,40
434,40
435,40
436,40
437,40
438,41
439,41
440,41
441,41
442,41
443,41
444,41
445,41
446,41
447,41
448,41
449,42
450,42
451,42
452,42
453,42
454,42
455,42
456,42
457,42
458,42
459,42
460,43
461,43
462,43
463,43
464,43
465,43
466,43
467,43
468,43
469,43
470,43
471,44
472,44
473,44
474,44
475,44
476,44
477,44
478,44
479,44
480,44
481,44
482,44
483,44
484,45
485,45
486,45
487,45
488,45
489,45
490,45
491,45
492,45
493,45
494,45
495,46
496,46
497,46
498,46
499,46
500,46
501,46
502,47
503,47
504,47
505,47
506,47
507,47
508,47
509,47
510,47
511,48
512,48
513,48
514,48
515,48
516,48
517,48
518,48
519,48
520,48
521,48
522,48
523,49
524,49
525,49
526,49
527,49
528,49
529,49
530,49
531,49
532,49
533,49
534,49
535,50
536,50
537,50
538,50
539,50
540,50
541,50
542,50
543,50
544,50
545,51
546,51
547,51
548,51
549,51
550,51
551,51
552,51
553,51
554,51
555,51
556,52
557,52
558,52
559,52
560,52
561,52
562,52
563,52
564,52
565,52
566,53
567,53
568,53
569,53
570,53
571,53
572,53
573,53
574,53
575,53
576,53
577,54
578,54
579,54
580,54
581,54
582,54
583,54
584,54
585,54
586,54
587,54
588,54
589,54
590,54
591,54
592,54
593,54
594,54
595,54
596,54
597,54
598,55
599,55
600,55
601,55
